,id,n_victimas,fecha,mm,hora,hh,tipo_de_calle,comuna,longitud,latitud,participantes,victima,acusado,año
74,2016-0099,1,2016-07-29,7,16:00:00,16,GRAL PAZ,11,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,2016
75,2016-0100,1,2016-08-03,8,23:27:00,23,GRAL PAZ,12,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016
76,2016-0101,1,2016-08-07,8,19:42:00,19,GRAL PAZ,9,-58.52932872,-34.65014993,SD-SD,SD,SD,2016
77,2016-0102,1,2016-08-10,8,23:37:00,23,AVENIDA,9,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,2016
78,2016-0104,1,2016-08-14,8,21:15:00,21,AVENIDA,9,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,2016
79,2016-0105,1,2016-08-17,8,0:05:00,0,AVENIDA,15,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,2016
80,2016-0106,1,2016-08-19,8,21:02:00,21,AVENIDA,1,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS,2016
81,2016-0107,1,2016-08-20,8,8:22:00,8,AUTOPISTA,4,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO,2016
82,2016-0109,1,2016-08-24,8,5:45:00,5,AUTOPISTA,9,-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2016
83,2016-0110,1,2016-08-24,8,20:21:00,20,AVENIDA,9,-58.51232237,-34.65903530,PEATON-SD,PEATON,SD,2016
84,2016-0111,1,2016-08-25,8,9:30:00,9,AUTOPISTA,15,-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS,2016
85,2016-0112,1,2016-08-27,8,4:40:00,4,AUTOPISTA,1,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016
86,2016-0113,1,2016-08-27,8,16:45:00,16,AVENIDA,9,-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS,2016
87,2016-0114,1,2016-08-31,8,11:20:00,11,CALLE,14,-58.41848605,-34.59394733,BICICLETA-CARGAS,BICICLETA,CARGAS,2016
88,2016-0115,1,2016-09-02,9,11:50:00,11,CALLE,12,-58.48935041,-34.54917673,SD-CARGAS,SD,CARGAS,2016
89,2016-0116,1,2016-09-02,9,20:20:00,20,AVENIDA,8,-58.44451316,-34.68475866,MOTO-AUTO,MOTO,AUTO,2016
90,2016-0117,1,2016-09-03,9,15:30:00,15,AVENIDA,14,-58.39936478,-34.58271474,AUTO-AUTO,AUTO,AUTO,2016
91,2016-0118,1,2016-09-04,9,3:30:00,3,AUTOPISTA,1,-58.37936704,-34.62694503,AUTO-AUTO,AUTO,AUTO,2016
92,2016-0119,1,2016-09-04,9,6:40:00,6,AVENIDA,12,-58.49659234,-34.56353635,SD-SD,SD,SD,2016
93,2016-0122,1,2016-09-13,9,7:10:00,7,AVENIDA,9,-58.47256391,-34.65194557,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,2016
94,2016-0123,1,2016-09-14,9,9:00:00,9,AVENIDA,7,-58.45130953,-34.64053676,MOTO-AUTO,MOTO,AUTO,2016
95,2016-0124,1,2016-09-16,9,15:24:00,15,AVENIDA,7,-58.46271207,-34.62884871,PEATON-PASAJEROS,PEATON,PASAJEROS,2016
96,2016-0125,1,2016-09-17,9,12:14:00,12,AUTOPISTA,10,-58.49020869,-34.64243791,MOTO-MOTO,MOTO,MOTO,2016
97,2016-0126,2,2016-09-18,9,22:45:00,22,CALLE,10,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,2016
98,2016-0127,1,2016-09-24,9,10:25:00,10,AVENIDA,8,-58.44094791,-34.66677111,PEATON-PASAJEROS,PEATON,PASAJEROS,2016
99,2016-0128,1,2016-10-02,10,11:30:00,11,AVENIDA,5,-58.41914024,-34.63053890,PEATON-PASAJEROS,PEATON,PASAJEROS,2016
100,2016-0130,1,2016-10-04,10,12:30:00,12,AUTOPISTA,1,-58.37910942,-34.62764717,MOTO-CARGAS,MOTO,CARGAS,2016
101,2016-0131,1,2016-10-09,10,19:13:00,19,CALLE,4,-58.39871183,-34.64539318,PEATON-AUTO,PEATON,AUTO,2016
102,2016-0132,1,2016-10-10,10,2:30:00,2,AVENIDA,3,-58.41036975,-34.62477021,AUTO-PASAJEROS,AUTO,PASAJEROS,2016
103,2016-0133,1,2016-10-14,10,0:05:00,0,AVENIDA,14,-58.40204698,-34.58342690,MOTO-AUTO,MOTO,AUTO,2016
104,2016-0134,1,2016-10-23,10,5:00:00,5,AVENIDA,8,-58.48935287,-34.67648597,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016
105,2016-0135,1,2016-10-24,10,5:00:00,5,AVENIDA,14,-58.42260225,-34.56403694,PEATON-SD,PEATON,SD,2016
106,2016-0136,1,2016-10-25,10,0:00:00,0,AUTOPISTA,4,.,.,MOTO-CARGAS,MOTO,CARGAS,2016
107,2016-0137,1,2016-10-25,10,0:39:00,0,AVENIDA,11,-58.51537091,-34.59035925,MOTO-MOTO,MOTO,MOTO,2016
108,2016-0138,1,2016-10-27,10,20:30:00,20,AVENIDA,13,-58.45909670,-34.55922742,BICICLETA-CARGAS,BICICLETA,CARGAS,2016
109,2016-0139,1,2016-10-28,10,23:00:00,23,AVENIDA,14,-58.42008769,-34.56539579,MOTO-MOTO,MOTO,MOTO,2016
110,2016-0140,1,2016-10-31,10,2:58:00,2,AVENIDA,13,-58.45566399,-34.56147293,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,2016
111,2016-0142,1,2016-11-05,11,23:30:00,23,AVENIDA,1,-58.37533517,-34.59276462,MOTO-PASAJEROS,MOTO,PASAJEROS,2016
112,2016-0143,1,2016-11-06,11,4:41:00,4,AVENIDA,8,-58.44451316,-34.68475866,MOTO-SD,MOTO,SD,2016
113,2016-0144,1,2016-11-07,11,12:10:00,12,AVENIDA,4,-58.35975012,-34.63343907,PEATON-PASAJEROS,PEATON,PASAJEROS,2016
114,2016-0145,1,2016-11-07,11,20:56:00,20,AVENIDA,13,-58.44523595,-34.55953855,MOTO-AUTO,MOTO,AUTO,2016
115,2016-0146,1,2016-11-09,11,20:00:00,20,AVENIDA,4,-58.39626094,-34.63036565,PEATON-PASAJEROS,PEATON,PASAJEROS,2016
116,2016-0147,1,2016-11-16,11,21:15:00,21,AVENIDA,1,-58.38896772,-34.61799615,MOVIL-PASAJEROS,MOVIL,PASAJEROS,2016
117,2016-0148,1,2016-11-16,11,22:20:00,22,AVENIDA,15,-58.46536113,-34.59484504,MOTO-MOTO,MOTO,MOTO,2016
118,2016-0150,1,2016-11-18,11,18:20:00,18,AVENIDA,4,-58.40879146,-34.65273216,CARGAS-CARGAS,CARGAS,CARGAS,2016
120,2016-0152,1,2016-11-23,11,21:10:00,21,AVENIDA,7,-58.46451841,-34.64991946,MOTO-AUTO,MOTO,AUTO,2016
121,2016-0153,1,2016-11-25,11,15:42:00,15,AVENIDA,15,-58.42917090,-34.59485488,PEATON-MOTO,PEATON,MOTO,2016
122,2016-0154,1,2016-11-26,11,14:14:00,14,GRAL PAZ,8,-58.49007772,-34.68251141,MOTO-MOTO,MOTO,MOTO,2016
123,2016-0155,1,2016-11-26,11,16:50:00,16,CALLE,10,-58.52756365,-34.62772274,PEATON-AUTO,PEATON,AUTO,2016
124,2016-0156,1,2016-11-26,11,19:40:00,19,AVENIDA,3,-58.40638983,-34.61943202,MOTO-PASAJEROS,MOTO,PASAJEROS,2016
125,2016-0157,1,2016-12-03,12,6:40:00,6,AVENIDA,11,-58.47576807,-34.61740997,MOTO-MOTO,MOTO,MOTO,2016
126,2016-0159,1,2016-12-04,12,7:21:00,7,AVENIDA,8,-58.44451316,-34.68475866,AUTO-SD,AUTO,SD,2016
127,2016-0160,1,2016-12-06,12,5:30:00,5,AUTOPISTA,9,-58.51927194,-34.63635787,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO,2016
128,2016-0161,1,2016-12-06,12,7:22:00,7,AVENIDA,14,-58.42525456,-34.57866344,PEATON-PASAJEROS,PEATON,PASAJEROS,2016
129,2016-0162,1,2016-12-07,12,5:00:00,5,AVENIDA,15,-58.45396573,-34.58518167,PEATON-AUTO,PEATON,AUTO,2016
130,2016-0163,1,2016-12-10,12,7:30:00,7,GRAL PAZ,11,-58.52340614,-34.59798754,MOTO-AUTO,MOTO,AUTO,2016
131,2016-0164,1,2016-12-11,12,6:16:00,6,AVENIDA,4,-58.42323628,-34.64119105,AUTO-AUTO,AUTO,AUTO,2016
132,2016-0165,1,2016-12-12,12,8:25:00,8,AVENIDA,4,-58.36926144,-34.62841919,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,2016
133,2016-0168,1,2016-12-13,12,10:40:00,10,AVENIDA,4,-58.42323628,-34.64119105,MOTO-AUTO,MOTO,AUTO,2016
134,2016-0169,1,2016-12-15,12,15:30:00,15,AVENIDA,12,-58.47935434,-34.55676497,MOTO-PASAJEROS,MOTO,PASAJEROS,2016
135,2016-0170,1,2016-12-19,12,17:10:00,17,GRAL PAZ,12,-58.50598256,-34.56379980,MOTO-AUTO,MOTO,AUTO,2016
136,2016-0171,1,2016-12-25,12,19:00:00,19,AUTOPISTA,1,-58.36607137,-34.62150748,MOTO-MOTO,MOTO,MOTO,2016
137,2016-0172,1,2016-12-26,12,8:00:00,8,AVENIDA,5,-58.41918902,-34.63174259,MOTO-CARGAS,MOTO,CARGAS,2016
138,2016-0173,1,2016-12-26,12,19:52:00,19,AVENIDA,7,-58.46749188,-34.63551751,MOTO-CARGAS,MOTO,CARGAS,2016
140,2016-0175,1,2016-12-27,12,8:15:00,8,CALLE,7,-58.46064174,-34.62960517,PEATON-BICICLETA,PEATON,BICICLETA,2016
141,2016-0176,1,2016-12-28,12,1:41:00,1,AVENIDA,1,-58.36956186,-34.61232875,MOTO-PASAJEROS,MOTO,PASAJEROS,2016
142,2016-0177,1,2016-12-29,12,4:00:00,4,CALLE,14,-58.40966671,-34.58788235,PEATON-AUTO,PEATON,AUTO,2016
143,2016-0178,1,2016-12-30,12,16:18:00,16,CALLE,3,-58.40288226,-34.61544091,MULTIPLE,PEATON,MULTIPLE,2016
144,2017-0001,1,2017-01-02,1,1:00:00,1,AVENIDA,11,-58.46594230,-34.61028571,MOTO-CARGAS,MOTO,CARGAS,2017
145,2017-0003,1,2017-01-05,1,3:10:00,3,AVENIDA,4,-58.38957669,-34.64410277,CARGAS-CARGAS,CARGAS,CARGAS,2017
146,2017-0007,1,2017-01-11,1,17:00:00,17,CALLE,1,-58.38161660,-34.61529543,MULTIPLE,PEATON,MULTIPLE,2017
147,2017-0008,1,2017-01-16,1,0:40:00,0,CALLE,14,-58.43917004,-34.58494351,MOTO-PASAJEROS,MOTO,PASAJEROS,2017
148,2017-0009,1,2017-01-16,1,13:56:00,13,AUTOPISTA,5,-58.41595919,-34.62743346,MOTO-CARGAS,MOTO,CARGAS,2017
149,2017-0010,1,2017-01-16,1,16:30:00,16,AVENIDA,6,-58.43564880,-34.62828656,MOTO-AUTO,MOTO,AUTO,2017
150,2017-0011,1,2017-01-22,1,2:30:00,2,GRAL PAZ,12,-58.50073810,-34.54979510,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2017
151,2017-0012,1,2017-01-24,1,14:00:00,14,CALLE,4,-58.40969005,-34.65055290,MOTO-CARGAS,MOTO,CARGAS,2017
152,2017-0013,1,2017-01-27,1,7:00:00,7,AVENIDA,4,-58.38972622,-34.65098981,PEATON-CARGAS,PEATON,CARGAS,2017
153,2017-0014,1,2017-01-28,1,8:27:34,8,AVENIDA,12,-58.49185972,-34.55046754,MULTIPLE,MOTO,MULTIPLE,2017
154,2017-0015,1,2017-02-02,2,15:18:03,15,AVENIDA,2,-58.39293417,-34.59963642,PEATON-AUTO,PEATON,AUTO,2017
155,2017-0016,1,2017-02-03,2,5:12:21,5,AUTOPISTA,1,-58.38099494,-34.62288231,MOTO-CARGAS,MOTO,CARGAS,2017
156,2017-0017,1,2017-02-06,2,8:00:00,8,AVENIDA,14,-58.42901200,-34.58095431,MOTO-AUTO,MOTO,AUTO,2017
157,2017-0018,1,2017-02-09,2,7:00:00,7,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,2017
158,2017-0021,1,2017-02-18,2,5:30:00,5,CALLE,1,-58.38362373,-34.60509972,MOTO-PASAJEROS,MOTO,PASAJEROS,2017
159,2017-0024,1,2017-02-23,2,20:50:00,20,AVENIDA,7,-58.46589308,-34.62955795,PEATON-PASAJEROS,PEATON,PASAJEROS,2017
160,2017-0025,1,2017-02-24,2,17:05:00,17,AVENIDA,7,-58.43614426,-34.65424640,MOTO-SD,MOTO,SD,2017
161,2017-0026,2,2017-02-26,2,5:15:00,5,AVENIDA,4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2017
162,2017-0027,1,2017-02-26,2,21:57:00,21,AVENIDA,1,-58.38332245,-34.63193250,PEATON-AUTO,PEATON,AUTO,2017
163,2017-0028,1,2017-02-28,2,9:20:00,9,AVENIDA,6,-58.45475488,-34.61196327,PEATON-AUTO,PEATON,AUTO,2017
164,2017-0029,1,2017-03-07,3,2:15:00,2,CALLE,9,-58.48501341,-34.64742455,SD-AUTO,SD,AUTO,2017
165,2017-0030,1,2017-03-07,3,8:00:00,8,AVENIDA,9,-58.47010988,-34.65872088,AUTO-PASAJEROS,AUTO,PASAJEROS,2017
166,2017-0031,1,2017-03-11,3,1:30:00,1,CALLE,3,-58.40997560,-34.62873635,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2017
167,2017-0032,1,2017-03-12,3,5:00:00,5,GRAL PAZ,8,-58.48892175,-34.68359163,AUTO-AUTO,AUTO,AUTO,2017
168,2017-0033,1,2017-03-12,3,7:30:00,7,GRAL PAZ,11,-58.52466448,-34.60325478,AUTO-AUTO,AUTO,AUTO,2017
169,2017-0034,1,2017-03-13,3,7:50:00,7,CALLE,14,-58.42554218,-34.57929036,PEATON-AUTO,PEATON,AUTO,2017
170,2017-0035,3,2017-03-23,3,5:00:00,5,AVENIDA,1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2017
171,2017-0036,2,2017-03-29,3,18:00:00,18,GRAL PAZ,12,-58.51452347,-34.58159762,MOTO-PASAJEROS,MOTO,PASAJEROS,2017
172,2017-0037,1,2017-03-31,3,3:00:00,3,AVENIDA,1,-58.38896772,-34.61799615,MOTO-CARGAS,MOTO,CARGAS,2017
173,2017-0038,1,2017-04-01,4,19:00:00,19,AVENIDA,7,-58.44516857,-34.64363363,MOTO-AUTO,MOTO,AUTO,2017
174,2017-0040,1,2017-04-03,4,9:40:00,9,AVENIDA,13,-58.43834197,-34.54560369,MULTIPLE,AUTO,MULTIPLE,2017
175,2017-0041,1,2017-04-03,4,23:15:00,23,CALLE,7,-58.45485084,-34.63531854,MOTO-AUTO,MOTO,AUTO,2017
176,2017-0042,1,2017-04-10,4,9:00:00,9,GRAL PAZ,14,.,.,MOTO-CARGAS,MOTO,CARGAS,2017
177,2017-0045,1,2017-04-14,4,6:15:00,6,CALLE,10,-58.52449285,-34.62454175,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2017
178,2017-0047,1,2017-04-23,4,6:30:00,6,AVENIDA,8,-58.46713742,-34.67198790,MOTO-AUTO,MOTO,AUTO,2017
179,2017-0049,1,2017-04-27,4,18:16:00,18,AVENIDA,8,-58.43850413,-34.65554754,PEATON-PASAJEROS,PEATON,PASAJEROS,2017
180,2017-0050,2,2017-04-28,4,11:08:08,11,AUTOPISTA,9,.,.,MOTO-CARGAS,MOTO,CARGAS,2017
181,2017-0051,1,2017-05-01,5,3:47:47,3,AUTOPISTA,7,.,.,AUTO-AUTO,AUTO,AUTO,2017
182,2017-0052,1,2017-05-05,5,3:40:00,3,GRAL PAZ,8,-58.49413799,-34.68095739,PEATON-CARGAS,PEATON,CARGAS,2017
183,2017-0053,1,2017-05-05,5,20:16:22,20,CALLE,4,-58.37547846,-34.65326075,MOTO-CARGAS,MOTO,CARGAS,2017
184,2017-0054,1,2017-05-07,5,21:00:00,21,AVENIDA,15,-58.48680218,-34.58689719,MOTO-AUTO,MOTO,AUTO,2017
185,2017-0055,1,2017-05-09,5,8:30:00,8,AVENIDA,12,-58.49563989,-34.57962262,AUTO-AUTO,AUTO,AUTO,2017
